Period,Average
2023-01,9.6
2022-12,10.0
2022-11,10.4
2022-10,10.3
2022-09,10.5
2022-08,10.9
2022-07,11.0
2022-06,10.8
2022-05,10.5
2022-04,10.1
2022-03,10.2
2022-02,10.5
2022-01,10.3
2021-12,11.0
2021-11,11.1
2021-10,11.4
2021-09,11.5
2021-08,11.2
2021-07,11.3
2021-06,10.7
2021-05,10.4
2021-04,10.6
2021-03,10.4
2021-02,9.8
2021-01,9.2
2020-12,10.0
2020-11,10.4
2020-10,11.0
2020-09,11.2
2020-08,10.9
2020-07,11.3
2020-06,10.9
2020-05,10.6
2020-04,10.1
2020-03,10.4
2020-02,10.3
2020-01,10.7
2019-12,10.8
2019-11,10.9
2019-10,11.3
2019-09,11.5
2019-08,11.4
2019-07,11.7
2019-06,11.2
2019-05,10.9
2019-04,10.4
2019-03,10.2
2019-02,10.4
2019-01,10.8
2018-12,10.8
2018-11,11.2
2018-10,11.5
2018-09,11.6
2018-08,11.6
2018-07,11.7
2018-06,11.3
2018-05,11.1
2018-04,10.4
2018-03,10.2
2018-02,10.6
2018-01,10.8
2017-12,11.0
2017-11,11.4
2017-10,11.6
2017-09,11.6
2017-08,11.8
2017-07,11.9
2017-06,11.3
2017-05,11.3
2017-04,10.8
2017-03,10.7
2017-02,11.1
2017-01,11.0
2016-12,11.2
2016-11,11.4
2016-10,11.8
2016-09,12.0
2016-08,11.9
2016-07,12.3
2016-06,11.9
2016-05,11.4
2016-04,10.8
2016-03,10.9
2016-02,11.3
2016-01,11.5
2015-12,11.6
2015-11,11.7
2015-10,12.0
2015-09,12.4
2015-08,12.0
2015-07,12.2
2015-06,12.1
2015-05,11.7
2015-04,11.3
2015-03,11.2
2015-02,11.7
2015-01,11.8
2014-12,12.0
2014-11,11.9
2014-10,12.4
2014-09,12.8
2014-08,12.3
2014-07,12.6
2014-06,12.3
2014-05,11.8
2014-04,11.5
2014-03,11.9
2014-02,12.3
2014-01,12.3
2013-12,12.3
2013-11,12.3
2013-10,12.5
2013-09,12.7
2013-08,12.6
2013-07,12.9
2013-06,12.1
2013-05,12.0
2013-04,11.7
2013-03,11.6
2013-02,12.0
2013-01,12.1
2012-12,12.2
2012-11,12.5
2012-10,13.0
2012-09,12.8
2012-08,12.7
2012-07,12.8
2012-06,12.3
2012-05,12.3
2012-04,12.1
2012-03,12.1
2012-02,12.3
2012-01,12.1
2011-12,12.3
2011-11,12.4
2011-10,12.5
2011-09,12.9
2011-08,12.9
2011-07,13.1
2011-06,12.9
2011-05,12.6
2011-04,12.0
2011-03,12.1
2011-02,12.5
2011-01,12.4
2010-12,12.7
2010-11,12.9
2010-10,13.1
2010-09,13.1
2010-08,12.9
2010-07,13.1
2010-06,12.7
2010-05,12.5
2010-04,12.4
2010-03,12.4
2010-02,12.7
2010-01,12.5
2009-12,12.8
2009-11,12.6
2009-10,12.8
2009-09,13.2
2009-08,12.8
2009-07,13.3
2009-06,12.7
2009-05,12.4
2009-04,12.4
2009-03,12.2
2009-02,12.3
2009-01,12.5
2008-12,12.5
2008-11,12.4
2008-10,12.7
2008-09,13.2
2008-08,12.8
2008-07,13.3
2008-06,12.8
2008-05,13.0
2008-04,12.9
2008-03,12.2
2008-02,12.4
2008-01,12.7
2007-12,12.6
2007-11,12.7
2007-10,13.0
2007-09,13.0
2007-08,13.0
2007-07,13.0
2007-06,12.6
2007-05,12.7
2007-04,12.0
2007-03,12.3
2007-02,12.6
2007-01,12.6
2006-12,12.7
2006-11,13.0
2006-10,13.4
2006-09,13.6
2006-08,13.2
2006-07,13.3
2006-06,13.1
2006-05,13.2
2006-04,12.2
2006-03,12.5
2006-02,12.7
2006-01,12.4
2005-12,12.6
2005-11,12.6
2005-10,12.9
2005-09,13.2
2005-08,12.9
2005-07,12.8
2005-06,12.7
2005-05,12.6
2005-04,12.4
2005-03,12.3
2005-02,12.6
2005-01,12.4
2004-12,12.7
2004-11,13.0
2004-10,12.9
2004-09,13.1
2004-08,12.8
2004-07,13.3
2004-06,12.7
2004-05,11.9
2004-04,12.3
2004-03,11.9
2004-02,12.3
2004-01,12.5
2003-12,12.5
2003-11,12.5
2003-10,12.7
2003-09,12.8
2003-08,12.5
2003-07,13.2
2003-06,12.5
2003-05,12.8
2003-04,12.7
2003-03,12.2
2003-02,12.6
2003-01,12.5
2002-12,12.6
2002-11,12.4
2002-10,13.1
2002-09,13.0
2002-08,12.9
2002-07,13.4
2002-06,12.6
2002-05,12.7
2002-04,12.6
2002-03,12.2
2002-02,12.5
2002-01,12.6
2001-12,12.4
2001-11,12.9
2001-10,13.2
2001-09,13.0
2001-08,13.1
2001-07,13.6
2001-06,12.9
2001-05,13.4
2001-04,12.9
2001-03,12.7
2001-02,12.6
2001-01,12.9
2000-12,12.9
2000-11,13.0
2000-10,13.1
2000-09,13.2
2000-08,13.3
2000-07,13.5
2000-06,13.2
2000-05,13.4
2000-04,12.9
2000-03,12.9
2000-02,12.9
2000-01,12.7
