"idBank";"Dernière mise à jour";"Nature";"Puissance";"Indicateur";"Unité";"Périodicité";"Catalogue d'indicateurs démographiques";"Âge";"Correction";"Zone géographique";"Série arrêtée"
"000436392";"02/03/2023 05:09";"Taux";"0";"Taux de natalité";"pour mille";"Mensuelle";"Taux de natalité";"Sans objet";"Non corrigé";"France métropolitaine";"non"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
