DATE,Value
2000,102.2301
2000,94.2989
2000,88.0927
2000,81.4425
2000,84.4552
2000,91.0406
2000,95.9957
2000,99.3704
2000,90.9178
2000,83.1408
2000,88.041
2000,102.4558
2001,109.1081
2001,97.1717
2001,92.8283
2001,82.915
2001,82.5465
2001,90.3955
2001,96.074
2001,99.5534
2001,88.281
2001,82.686
2001,82.9319
2001,93.0381
2002,102.9955
2002,95.2075
2002,93.2556
2002,85.795
2002,85.2351
2002,93.1896
2002,102.393
2002,101.6293
2002,93.3089
2002,86.9002
2002,88.5749
2002,100.8003
2003,110.1807
2003,103.8413
2003,94.5532
2003,85.062
2003,85.4653
2003,91.0761
2003,102.22
2003,104.4682
2003,92.9135
2003,86.5047
2003,88.5735
2003,103.5428
2004,113.7226
2004,106.159
2004,95.4029
2004,86.7233
2004,89.0302
2004,95.5045
2004,101.7948
2004,100.2025
2004,94.024
2004,87.5262
2004,89.6144
2004,105.7263
2005,111.1614
2005,101.7795
2005,98.9565
2005,86.4776
2005,87.2234
2005,99.5076
2005,108.3501
2005,109.4862
2005,99.1155
2005,89.7567
2005,90.4587
2005,108.2257
