date_debut;date_fin;segment_client;conso_a_tr;conso_a_tn;temp_moy_a_tr;temp_moy_a_tn;cons_hist_moy_a_tn;cons_hist_min_a_tn;cons_hist_max_a_tn;cons_hist_moy_a_tr;cons_hist_min_a_tr;cons_hist_max_a_tr;temp_hist_moy_a_tr;temp_hist_min_a_tr;temp_hist_max_a_tr
2022-09-12;2022-09-18;Professionnels;607277;595164;19.6;17.6;623923;614956;635905;631978;623378;642404;19.1;18.0;19.8
2022-10-10;2022-10-16;Entreprises;2702247;2719208;15.5;13.9;2902343;2869741;2919332;2906349;2873784;2944396;14.8;12.2;16.9
2022-10-31;2022-11-06;Professionnels;647780;707632;13.8;10.9;776668;756672;793994;799524;736775;849454;10.4;8.5;12.8
2022-10-31;2022-11-06;Residentiels;2301814;2856051;13.8;10.9;2992678;2921563;3095725;3149556;2700229;3490082;10.4;8.5;12.8
2022-11-14;2022-11-20;Professionnels;762081;825724;11.0;8.8;884270;862245;900582;898686;838454;947938;8.5;6.4;10.8
2023-01-16;2023-01-22;Residentiels;4542502;4236269;4.1;5.1;4524346;4417553;4652214;4404537;3946961;4767131;5.7;3.8;7.4
2023-02-20;2023-02-26;Professionnels;827406;863359;8.3;7.0;957147;904058;995898;922780;792203;1097497;8.1;4.0;11.0
2023-02-20;2023-02-26;Residentiels;3518826;3782492;8.3;7.0;4018926;3873398;4098504;3805201;3308196;4621388;8.1;4.0;11.0
2022-10-24;2022-10-30;Entreprises;2642661;2713766;17.7;11.9;2947349;2901986;2982530;2919379;2875763;2945216;12.8;12.2;13.8
2022-12-05;2022-12-11;Professionnels;996805;930998;3.4;6.1;1025912;1012907;1048333;992402;886722;1059359;7.5;5.7;10.8
2022-12-26;2023-01-01;Residentiels;3298952;4453733;10.4;4.8;4668173;4587047;4718141;3900026;3529608;4320696;8.4;5.9;10.5
2023-01-02;2023-01-08;Residentiels;3206134;4419678;10.4;4.8;4644491;4486218;4730384;4432732;3588877;5369560;5.9;1.8;9.3
2022-08-29;2022-09-04;Professionnels;608587;584965;22.3;19.4;605715;595693;614749;616068;607243;629818;20.6;19.4;23.0
2022-10-17;2022-10-23;Entreprises;2681937;2719225;17.7;12.9;2925333;2876363;2957884;2893470;2856547;2952104;15.0;13.3;16.4
2022-10-31;2022-11-06;Entreprises;2474537;2551972;13.8;10.9;2825034;2789318;2869373;2862975;2784045;2914206;10.4;8.5;12.8
2022-11-28;2022-12-04;Entreprises;3060047;3043395;6.6;6.9;3308053;3280156;3363599;3287292;3183971;3432012;7.7;5.4;9.5
2022-11-28;2022-12-04;Residentiels;3728381;3674396;6.6;6.9;3976526;3922809;4069520;3865324;3514776;4398335;7.7;5.4;9.5
2022-12-19;2022-12-25;Residentiels;3336728;4214164;9.4;5.1;4537433;4474375;4598995;3970981;3498952;4536257;7.8;5.1;10.4
2023-02-06;2023-02-12;Entreprises;3130730;3068443;4.7;6.2;3278275;3113256;3375581;3413482;3315812;3538462;3.8;2.6;6.1
2022-09-19;2022-09-25;Residentiels;1896236;1855610;15.5;16.7;1927447;1882228;1984202;1856796;1818318;1925269;18.8;17.1;19.9
2022-10-03;2022-10-09;Entreprises;2706362;2713178;15.3;14.9;2872244;2847902;2910567;2880740;2863478;2907006;15.0;14.0;15.8
2022-10-17;2022-10-23;Residentiels;1886574;2401522;17.7;12.9;2487330;2386959;2573764;2227878;2005104;2507416;15.0;13.3;16.4
2022-10-24;2022-10-30;Residentiels;1897371;2649611;17.7;11.9;2746718;2661567;2854284;2585516;2449921;2685883;12.8;12.2;13.8
2022-12-05;2022-12-11;Residentiels;4361598;3783932;3.4;6.1;4217251;4123608;4313478;3986331;3308138;4376237;7.5;5.7;10.8
2022-12-12;2022-12-18;Entreprises;3302555;3109642;1.7;5.5;3373040;3347286;3411162;3331180;3256795;3373714;6.4;5.5;7.6
2023-01-02;2023-01-08;Professionnels;807684;973823;10.4;4.8;1035754;992850;1086679;998336;871487;1127441;5.9;1.8;9.3
2023-01-09;2023-01-15;Entreprises;2956006;3170386;9.0;4.9;3367418;3236563;3421290;3361629;3285966;3463844;4.9;3.8;6.9
2023-01-16;2023-01-22;Professionnels;1002919;985443;4.1;5.1;1041194;1013760;1063223;1025726;961554;1095667;5.7;3.8;7.4
2023-01-23;2023-01-29;Entreprises;3319036;3155866;2.4;5.4;3358954;3221206;3419417;3351327;3160085;3519799;5.6;3.3;8.8
