Year,Number of days
1891,134.2
1892,129.4
1893,108.8
1894,112.9
1895,119.6
1896,118.0
1897,122.5
1898,125.9
1899,128.8
1900,130.1
1901,127.4
1902,128.6
1903,129.0
1904,128.1
1905,125.1
1906,126.2
1907,126.3
1908,134.6
1909,125.7
1910,128.3
1911,126.3
1912,117.3
1913,123.8
1914,116.9
1915,125.9
1916,126.9
1917,131.6
1918,124.3
1919,129.0
1920,119.1
1921,116.5
1922,128.6
1923,121.1
1924,129.3
1925,128.9
1926,117.4
1927,122.9
1928,121.0
1929,126.6
1930,128.7
1931,128.7
1932,119.3
1933,126.5
1934,120.3
1935,128.4
1936,125.7
1937,120.9
1938,123.0
1939,134.5
1940,122.1
1941,113.2
1942,118.0
1943,107.8
1944,114.2
1945,126.6
1946,115.0
1947,127.9
~,~
1999,113.2
2000,119.7
2001,127.3
2002,113.8
2003,113.7
2004,118.4
2005,117.5
2006,122.1
2007,109.7
2008,119.7
2009,113.1
