Year,Number of days
1891,134
1892,129
1893,108
1894,112
1895,119
1896,118
1897,122
1898,125
1899,128
1900,130
1901,127
1902,128
1903,129
1904,128
1905,125
1906,126
1907,126
1908,134
1909,125
1910,128
1911,126
1912,117
1913,123
1914,116
1915,125
1916,126
1917,131
1918,124
1919,129
1920,119
1921,116
1922,128
1923,121
1924,129
1925,128
1926,117
1927,122
1928,121
1929,126
1930,128
1931,128
1932,119
1933,126
1934,120
1935,128
1936,125
1937,120
1938,123
1939,134
1940,122
1941,113
1942,118
1943,107
1944,114
1945,126
1946,115
1947,127
~,~
1999,113
2000,119
2001,127
2002,113
2003,113
2004,118
2005,117
2006,122
2007,109
2008,119
2009,113
