"Libellé";"Démographie - Taux de natalité (naissances pour 1000 habitants) - France métropolitaine";"Codes"
"idBank";"000436392";""
"Dernière mise à jour";"02/03/2023 16:55";""
"Période";"";""
"2023-01";"9.6";"P"
"2022-12";"10.0";"P"
"2022-11";"10.4";"P"
"2022-10";"10.3";"P"
"2022-09";"10.5";"P"
"2022-08";"10.9";"P"
"2022-07";"11.0";"P"
"2022-06";"10.8";"P"
"2022-05";"10.5";"P"
"2022-04";"10.1";"P"
"2022-03";"10.2";"P"
"2022-02";"10.5";"P"
"2022-01";"10.3";"P"
"2021-12";"11.0";"P"
"2021-11";"11.1";"P"
"2021-10";"11.4";"P"
"2021-09";"11.5";"P"
"2021-08";"11.2";"P"
"2021-07";"11.3";"P"
"2021-06";"10.7";"P"
"2021-05";"10.4";"P"
"2021-04";"10.6";"P"
"2021-03";"10.4";"P"
"2021-02";"9.8";"P"
"2021-01";"9.2";"P"
"2020-12";"10.0";"P"
"2020-11";"10.4";"P"
"2020-10";"11.0";"P"
"2020-09";"11.2";"P"
"2020-08";"10.9";"P"
"2020-07";"11.3";"P"
"2020-06";"10.9";"P"
"2020-05";"10.6";"P"
"2020-04";"10.1";"P"
"2020-03";"10.4";"P"
"2020-02";"10.3";"P"
"2020-01";"10.7";"P"
"2019-12";"10.8";"A"
"2019-11";"10.9";"A"
"2019-10";"11.3";"A"
"2019-09";"11.5";"A"
"2019-08";"11.4";"A"
"2019-07";"11.7";"A"
"2019-06";"11.2";"A"
"2019-05";"10.9";"A"
"2019-04";"10.4";"A"
"2019-03";"10.2";"A"
"2019-02";"10.4";"A"
"2019-01";"10.8";"A"
"2018-12";"10.8";"A"
"2018-11";"11.2";"A"
"2018-10";"11.5";"A"
"2018-09";"11.6";"A"
"2018-08";"11.6";"A"
"2018-07";"11.7";"A"
"2018-06";"11.3";"A"
"2018-05";"11.1";"A"
"2018-04";"10.4";"A"
"2018-03";"10.2";"A"
"2018-02";"10.6";"A"
"2018-01";"10.8";"A"
"2017-12";"11.0";"A"
"2017-11";"11.4";"A"
"2017-10";"11.6";"A"
"2017-09";"11.6";"A"
"2017-08";"11.8";"A"
"2017-07";"11.9";"A"
"2017-06";"11.3";"A"
"2017-05";"11.3";"A"
"2017-04";"10.8";"A"
"2017-03";"10.7";"A"
"2017-02";"11.1";"A"
"2017-01";"11.0";"A"
"2016-12";"11.2";"A"
"2016-11";"11.4";"A"
"2016-10";"11.8";"A"
"2016-09";"12.0";"A"
"2016-08";"11.9";"A"
"2016-07";"12.3";"A"
"2016-06";"11.9";"A"
"2016-05";"11.4";"A"
"2016-04";"10.8";"A"
"2016-03";"10.9";"A"
"2016-02";"11.3";"A"
"2016-01";"11.5";"A"
"2015-12";"11.6";"A"
"2015-11";"11.7";"A"
"2015-10";"12.0";"A"
"2015-09";"12.4";"A"
"2015-08";"12.0";"A"
"2015-07";"12.2";"A"
"2015-06";"12.1";"A"
"2015-05";"11.7";"A"
"2015-04";"11.3";"A"
"2015-03";"11.2";"A"
"2015-02";"11.7";"A"
"2015-01";"11.8";"A"
"2014-12";"12.0";"A"
"2014-11";"11.9";"A"
"2014-10";"12.4";"A"
"2014-09";"12.8";"A"
"2014-08";"12.3";"A"
"2014-07";"12.6";"A"
"2014-06";"12.3";"A"
"2014-05";"11.8";"A"
"2014-04";"11.5";"A"
"2014-03";"11.9";"A"
"2014-02";"12.3";"A"
"2014-01";"12.3";"A"
"2013-12";"12.3";"A"
"2013-11";"12.3";"A"
"2013-10";"12.5";"A"
"2013-09";"12.7";"A"
"2013-08";"12.6";"A"
"2013-07";"12.9";"A"
"2013-06";"12.1";"A"
"2013-05";"12.0";"A"
"2013-04";"11.7";"A"
"2013-03";"11.6";"A"
"2013-02";"12.0";"A"
"2013-01";"12.1";"A"
"2012-12";"12.2";"A"
"2012-11";"12.5";"A"
"2012-10";"13.0";"A"
"2012-09";"12.8";"A"
"2012-08";"12.7";"A"
"2012-07";"12.8";"A"
"2012-06";"12.3";"A"
"2012-05";"12.3";"A"
"2012-04";"12.1";"A"
"2012-03";"12.1";"A"
"2012-02";"12.3";"A"
"2012-01";"12.1";"A"
"2011-12";"12.3";"A"
"2011-11";"12.4";"A"
"2011-10";"12.5";"A"
"2011-09";"12.9";"A"
"2011-08";"12.9";"A"
"2011-07";"13.1";"A"
"2011-06";"12.9";"A"
"2011-05";"12.6";"A"
"2011-04";"12.0";"A"
"2011-03";"12.1";"A"
"2011-02";"12.5";"A"
"2011-01";"12.4";"A"
"2010-12";"12.7";"A"
"2010-11";"12.9";"A"
"2010-10";"13.1";"A"
"2010-09";"13.1";"A"
"2010-08";"12.9";"A"
"2010-07";"13.1";"A"
"2010-06";"12.7";"A"
"2010-05";"12.5";"A"
"2010-04";"12.4";"A"
"2010-03";"12.4";"A"
"2010-02";"12.7";"A"
"2010-01";"12.5";"A"
"2009-12";"12.8";"A"
"2009-11";"12.6";"A"
"2009-10";"12.8";"A"
"2009-09";"13.2";"A"
"2009-08";"12.8";"A"
"2009-07";"13.3";"A"
"2009-06";"12.7";"A"
"2009-05";"12.4";"A"
"2009-04";"12.4";"A"
"2009-03";"12.2";"A"
"2009-02";"12.3";"A"
"2009-01";"12.5";"A"
"2008-12";"12.5";"A"
"2008-11";"12.4";"A"
"2008-10";"12.7";"A"
"2008-09";"13.2";"A"
"2008-08";"12.8";"A"
"2008-07";"13.3";"A"
"2008-06";"12.8";"A"
"2008-05";"13.0";"A"
"2008-04";"12.9";"A"
"2008-03";"12.2";"A"
"2008-02";"12.4";"A"
"2008-01";"12.7";"A"
"2007-12";"12.6";"A"
"2007-11";"12.7";"A"
"2007-10";"13.0";"A"
"2007-09";"13.0";"A"
"2007-08";"13.0";"A"
"2007-07";"13.0";"A"
"2007-06";"12.6";"A"
"2007-05";"12.7";"A"
"2007-04";"12.0";"A"
"2007-03";"12.3";"A"
"2007-02";"12.6";"A"
"2007-01";"12.6";"A"
"2006-12";"12.7";"A"
"2006-11";"13.0";"A"
"2006-10";"13.4";"A"
"2006-09";"13.6";"A"
"2006-08";"13.2";"A"
"2006-07";"13.3";"A"
"2006-06";"13.1";"A"
"2006-05";"13.2";"A"
"2006-04";"12.2";"A"
"2006-03";"12.5";"A"
"2006-02";"12.7";"A"
"2006-01";"12.4";"A"
"2005-12";"12.6";"A"
"2005-11";"12.6";"A"
"2005-10";"12.9";"A"
"2005-09";"13.2";"A"
"2005-08";"12.9";"A"
"2005-07";"12.8";"A"
"2005-06";"12.7";"A"
"2005-05";"12.6";"A"
"2005-04";"12.4";"A"
"2005-03";"12.3";"A"
"2005-02";"12.6";"A"
"2005-01";"12.4";"A"
"2004-12";"12.7";"A"
"2004-11";"13.0";"A"
"2004-10";"12.9";"A"
"2004-09";"13.1";"A"
"2004-08";"12.8";"A"
"2004-07";"13.3";"A"
"2004-06";"12.7";"A"
"2004-05";"11.9";"A"
"2004-04";"12.3";"A"
"2004-03";"11.9";"A"
"2004-02";"12.3";"A"
"2004-01";"12.5";"A"
"2003-12";"12.5";"A"
"2003-11";"12.5";"A"
"2003-10";"12.7";"A"
"2003-09";"12.8";"A"
"2003-08";"12.5";"A"
"2003-07";"13.2";"A"
"2003-06";"12.5";"A"
"2003-05";"12.8";"A"
"2003-04";"12.7";"A"
"2003-03";"12.2";"A"
"2003-02";"12.6";"A"
"2003-01";"12.5";"A"
"2002-12";"12.6";"A"
"2002-11";"12.4";"A"
"2002-10";"13.1";"A"
"2002-09";"13.0";"A"
"2002-08";"12.9";"A"
"2002-07";"13.4";"A"
"2002-06";"12.6";"A"
"2002-05";"12.7";"A"
"2002-04";"12.6";"A"
"2002-03";"12.2";"A"
"2002-02";"12.5";"A"
"2002-01";"12.6";"A"
"2001-12";"12.4";"A"
"2001-11";"12.9";"A"
"2001-10";"13.2";"A"
"2001-09";"13.0";"A"
"2001-08";"13.1";"A"
"2001-07";"13.6";"A"
"2001-06";"12.9";"A"
"2001-05";"13.4";"A"
"2001-04";"12.9";"A"
"2001-03";"12.7";"A"
"2001-02";"12.6";"A"
"2001-01";"12.9";"A"
"2000-12";"12.9";"A"
"2000-11";"13.0";"A"
"2000-10";"13.1";"A"
"2000-09";"13.2";"A"
"2000-08";"13.3";"A"
"2000-07";"13.5";"A"
"2000-06";"13.2";"A"
"2000-05";"13.4";"A"
"2000-04";"12.9";"A"
"2000-03";"12.9";"A"
"2000-02";"12.9";"A"
"2000-01";"12.7";"A"
